Rack,Source,Rack,Destination,Volume,Tool
1,F3,1,1,140,1
1,D7,1,1,140,1
1,B12,1,1,180,1
1,D3,1,1,190,1
1,D11,1,1,180,1
1,B11,1,1,170,1
1,F7,1,1,160,1
1,E11,1,1,150,1
1,D12,1,1,150,1
1,G11,1,1,130,1
1,A11,1,1,190,1
1,C12,1,1,180,1
1,C8,1,1,170,1
1,C11,1,1,180,1
1,H12,1,1,130,1
1,E12,1,1,160,1
1,G7,1,1,140,1
1,E7,1,1,120,1
1,E8,1,1,190,1
1,G8,1,1,180,1
1,C7,1,1,160,1
1,F11,1,1,170,1
1,A4,1,1,160,1
1,B3,1,1,150,1
1,H1,1,1,140,1
1,D9,1,1,129,1
1,B8,1,1,120,1
1,F12,1,1,128,1
1,F6,1,1,125,1
1,E4,1,1,120,1
1,H3,1,1,120,1
1,B7,1,1,120,1
1,A7,1,1,120,1
1,H7,1,1,130,1
1,A8,1,1,100,1
1,A9,1,1,100,1
1,F8,1,1,100,1
1,C9,1,1,100,1
1,A12,1,1,200,1
1,H8,1,1,230,1
1,C5,1,1,150,1
1,H11,1,1,200,1
1,B5,1,1,130,1
1,B9,1,1,120,1
1,E5,1,1,120,1
1,D8,1,1,120,1
1,G6,1,1,120,1
1,G9,1,1,100,1
1,C6,1,1,100,1
1,C4,1,1,100,1
1,H4,1,1,100,1
1,H5,1,1,100,1
1,A5,1,1,100,1
1,G4,1,1,100,1
1,F5,1,1,100,1
1,G5,1,1,100,1
1,D4,1,1,100,1
1,A6,1,1,100,1
1,D5,1,1,100,1
1,F4,1,1,100,1
1,B10,1,1,100,1
1,D6,1,1,100,1
1,E6,1,1,100,1
1,B6,1,1,100,1
1,G1,1,1,100,1
1,B2,1,1,100,1
1,H9,1,1,100,1
1,F9,1,1,100,1
1,C10,1,1,150,1
1,H6,1,1,150,1
1,F10,1,1,150,1
1,E10,1,1,100,1
1,E1,1,1,150,1
1,F1,1,1,100,1
1,G2,1,1,100,1
1,E9,1,1,100,1
1,A2,1,1,150,1
1,D2,1,1,150,1
1,D10,1,1,100,1
1,H10,1,1,100,1
1,H2,1,1,7.120,1
1,A10,1,1,130,1
1,C1,1,1,140,1
1,C2,1,1,150,1
1,F2,1,1,120,1
1,B1,1,1,110,1
1,A1,1,1,100,1
1,E9,1,1,100,1
1,A2,1,1,100,1
1,D2,1,1,100,1
1,D10,1,1,110,1
1,H10,1,1,120,1
1,H2,1,1,130,1
1,A10,1,1,140,1
1,C1,1,1,150,1
